Country Name,Rio 2016 (G+S+B),London 2012 (G+B+S),Beijing 2008 (G+S+B),Athens 2004 (G+S+B),host_country,Total Medals (G+S+B),HDI (2019),Population 2021,GDP per capita (US$)
Afghanistan,0.0,1.0,1.0,0.0,0,2.0,0.496,39835.428,502.0
Cameroon,0.0,1.0,1.0,1.0,0,3.0,0.563,27224.265,1498.0
Hong Kong,0.0,1.0,0.0,1.0,0,2.0,0.939,7552.81,48756.0
Kuwait,0.0,1.0,0.0,0.0,0,1.0,0.808,4328.55,32032.0
Saudi Arabia,0.0,1.0,0.0,0.0,0,1.0,0.857,35340.683,23140.0
Zimbabwe,0.0,0.0,4.0,3.0,0,7.0,0.563,15092.171,1464.0
Panama,0.0,0.0,1.0,0.0,0,1.0,0.795,4381.579,15731.0
Kyrgyzstan,0.0,0.0,3.0,0.0,0,3.0,0.674,6628.356,1309.0
Chile,0.0,0.0,1.0,3.0,0,4.0,0.847,19212.361,14896.0
Ecuador,0.0,0.0,1.0,0.0,0,1.0,0.758,17888.475,6184.0
Iceland,0.0,0.0,1.0,0.0,0,1.0,0.938,343.353,66945.0
Samoa,0.0,0.0,1.0,0.0,0,1.0,0.7955000000000001,11474.9155,4316.0
Sudan,0.0,0.0,1.0,0.0,0,1.0,0.507,44909.353,442.0
Mauritius,0.0,0.0,1.0,0.0,0,1.0,0.796,1273.433,11204.0
Moldova,0.0,0.0,1.0,0.0,0,1.0,0.711,4024.019,4551.130676
Togo,0.0,0.0,1.0,0.0,0,1.0,0.513,8478.25,676.0
Serbia and Montenegro,0.0,0.0,0.0,2.0,0,2.0,0.7955000000000001,11474.9155,9734.5
Paraguay,0.0,0.0,0.0,1.0,0,1.0,0.724,7219.638,5415.0
Eritrea,0.0,0.0,0.0,1.0,0,1.0,0.434,3601.467,642.5082587999999
Syria,0.0,0.0,0.0,1.0,0,1.0,0.549,18275.702,2032.623183
